"project_item_id","issue_url","repository","title","item_type_before","item_type_after","status_before","status_after","sprint","parent_issue","reason"
"PVTI_lADOEWKGsc4BaNxzzgv6_NU","","","EPIC: Platform Foundation","Epic","Epic","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv6_QE","https://github.com/digital-bank-java/config-server/issues/2","https://github.com/digital-bank-java/config-server","EPIC: Config Server","Epic","Epic","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv6_Wk","","","EPIC: API Gateway","Epic","Epic","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv6_ZI","","","EPIC: Auth & Session Management","Epic","Epic","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv6_bw","","","EPIC: MFA Provider Service","Epic","Epic","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv6_fg","","","EPIC: Banking Domain Vertical Slice","Epic","Epic","Backlog","Backlog","Sprint 3 - Internal Transfers and Event Consistency","","Delivers internal-transfer orchestration, Kafka contract/event flow, account reservation completion, or transfer verification required for Sprint 3 consistency."
"PVTI_lADOEWKGsc4BaNxzzgv6_is","","","EPIC: Payment Rail Architecture","Epic","Epic","Backlog","Backlog","Sprint 5 - Payment Rails and Notifications","","Payment-rail architecture is deferred to the external-payment outcome; assign to Sprint 5 even though the legacy slice groups it beside internal transfers."
"PVTI_lADOEWKGsc4BaNxzzgv6_mg","","","EPIC: Step-Up Authorization","Epic","Epic","Backlog","Backlog","Sprint 4 - Secure Customer Access and Step-Up Authorization","","Delivers identity, session, MFA, authorization, or high-risk step-up controls required for Sprint 4 secure customer access."
"PVTI_lADOEWKGsc4BaNxzzgv6_rg","","","EPIC: Testing & Quality","Epic","Epic","Ready","Ready","Sprint 0 - Platform Foundation and Local SIT","","Cross-cutting testing and quality epic; best fit is Sprint 0 because reproducible CI is an explicit local-SIT foundation exit criterion."
"PVTI_lADOEWKGsc4BaNxzzgv6_u0","","","EPIC: Observability & Resilience","Epic","Epic","Backlog","Backlog","Sprint 6 - Operational Resilience and Observability","","Delivers centralized observability, logging, resilience, throttling, operational visibility, or operational governance required for Sprint 6."
"PVTI_lADOEWKGsc4BaNxzzgv6_x4","","","EPIC: Local Deployment","Epic","Epic","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv6_0w","","","EPIC: API Testing With Insomnia","Epic","Epic","Backlog","Backlog","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
"PVTI_lADOEWKGsc4BaNxzzgv6_4Y","","","EPIC: Production Documentation","Epic","Epic","Backlog","Backlog","Sprint 7 - AWS UAT and Production Readiness","","Delivers AWS UAT/production documentation, hosted-service architecture, environment validation, or release hardening required for Sprint 7."
"PVTI_lADOEWKGsc4BaNxzzgv6_8g","","","STORY: Confirm local development environment","Story","Story","Done","Done","Sprint 0 - Platform Foundation and Local SIT","","Establishes a shared platform, CI, governance, configuration, or local-SIT prerequisite required for the Sprint 0 reproducible platform outcome."
